year,president,script
1989,Bush1,protect future need new attitude environment must protect air breathe send shortly legislation new effective clean air act include plan reduce date certain emission cause acid rain time study alone passed time action must make use clean coal budget contains full funding schedule clean coal technology agreement weve made canada weve made agreement canada intend honor agreement must neglect park asking fund new acquisition land water conservation fund must protect ocean support new penalty would dump medical waste trash ocean age needle beach must end
1989,Bush1,case gulf ocean shore hold promise oil gas reserve make nation secure le dependent foreign oil promise tapped safely much alaska national wildlife refuge proceed must use caution must respect environment tonight calling indefinite postponement three lease sale raised troubling question two coast california one could threaten everglades florida action three lease sale await conclusion special task force set measure potential environmental damage
1989,Bush1,directing attorney general administrator environmental protection agency use every tool disposal speed toughen enforcement law toxicwaste dumper want faster cleanup tougher enforcement penalty polluter
1989,Bush1,addition caring future must care around u decent society show compassion young elderly vulnerable poor first obligation vulnerable infant poor mother child living poverty proposed budget recognizes ask full funding medicaid increase 3 billion expansion program include coverage pregnant woman near poverty line believe help working family cope burden child care help aimed need lowincome family young child support new child care tax credit aim effort exactly family without discriminating mother choose stay home
1989,Bush1,know competing proposal remember overwhelming majority preschool child care provided relative neighbor church community group family choose option remain eligible help parent choice child unwanted abused whose parent deceased encourage adoption propose reenact tax deduction adoption expense double 3000 let make easier kid parent love
1989,Bush1,must care shadow life many american deeply troubled plight homeless cause homelessness many history long moral imperative act clear thanks deep well generosity great land many organization already contribute government cannot stand sideline budget ask greater support emergency food shelter health service measure prevent substance abuse clinic mentally ill propose new initiative involving full range government agency must confront national shame
1989,Bush1,there another issue ive decided mention tonight ive long believed people puerto rico right determine political future personally strongly favor statehood urge congress take necessary step allow people decide referendum
1989,Bush1,earlier week announced support plan restore financial moral integrity saving system ask congress enact reform proposal within 45 day must let situation fester owe saver country solve problem certainly saving american must remain secure let clear insured depositor continue fully protected plan refinance system must accompanied major reform proposal prevent crisis recurring best answer make sure mess never happen majority thrift community across nation honest theyve played major role helping family achieve dream home ownership make mistake corrupt break law must kicked business go jail
1989,Bush1,face massive task cleaning waste left decade environmental neglect america nuclear weapon plant clearly must modernize plant operate safely thats issue national security depends beyond must clean old mess thats left behind propose budget double current effort allow u identify exact nature various problem clean clean
1989,Bush1,weve fortunate past 8 year america stronger nation 1980 morale armed force restored resolve shown readiness improved peace longer doubt peace made secure strength america stronger world safer
1989,Bush1,people realize successful restoration strength pentagon budget actually reduced real term last 4 year cannot tolerate continued real reduction defense light compelling need reduce deficit however support 1year freeze military budget something proposed last fall flexible freeze plan freeze apply 1 year increase inflation required sacrifice american preparedness compromise american strength
1989,Bush1,clear condition attached recommendation coming year saving must allocated priority investing future ive spoken tonight defense freeze must part comprehensive budget agreement meet target spelled grammrudmanhollings law without raising tax incorporates reform budget process
1989,Bush1,ive directed national security council review national security defense policy report back within 90 day ensure capability resource meet commitment strategy also charging department defense task developing plan improve defense procurement process management pentagon one fully implement packard commission report many change made participation congress ask help need fewer regulation need le bureaucracy need multiyear procurement 2year budgeting frankly take wrong need le congressional micromanagement nation military policy detect slight division question nevertheless
1989,Bush1,securing peaceful world perhaps important priority id address tonight know meet time extraordinary hope never century value freedom democracy economic opportunity powerful intellectual force around globe never leadership crucial america eye future world eye america
1989,Bush1,time great change world especially soviet union prudence common sense dictate try understand full meaning change going review policy proceed caution ive personally assured general secretary gorbachev conclusion review ready move forward miss opportunity work peace fundamental fact remain soviet retain powerful military machine service objective still often conflict let u take new openness seriously let also realistic let always strong
1989,Bush1,pressing issue must address vigorously pursue strategic defense initiative spread even use sophisticated weaponry threatens global security never chemical weapon must banned face earth never used look wont easy verification extraordinarily difficult civilization human decency demand try spread nuclear weapon must stopped ill work strengthen hand international atomic energy agency diplomacy must work every day proliferation nuclear weapon
1989,Bush1,around globe must continue freedom best friend must stand firm selfdetermination democracy central america including nicaragua strongly held conviction people given chance inevitably choose free press freedom worship certifiably free fair election
1989,Bush1,must strengthen alliance industrial democracy solid force peace world ever known alliance forged power ideal pettiness difference let lift sight rise fighting beef hormone building better future move protectionism progress
1989,Bush1,ive asked secretary state visit europe next week consult ally wide range challenge opportunity face together including eastwest relation look forward meeting nato partner near future
1989,Bush1,shall begin trip shortly far reach pacific basin wind democracy creating new hope power free market unleashing new force served representative china 14 15 year ago would predicted scope change weve witnessed since preparing trip struck something came across chinese writer speaking country decade ago word speak u america tonight said afraid simple word goodness mercy kindness friend succeed nation must rediscover word
1989,Bush1,3 day mark birthday abraham lincoln man saved union gave new meaning word opportunity lincoln said hold man exists duty improve condition assist ameliorating mankind broader mission call american definition successful life must include serving others
1989,Bush1,young people america sometimes feel left ask tonight give u benefit talent energy new program called yes youth entering service america
1989,Bush1,men woman business remember ultimate end work make better product create better life ask plan longer term avoid temptation quick easy paper profit
1989,Bush1,brave men woman wear uniform united state america calling high one defender freedom guarantor liberty want know nation grateful service
1989,Bush1,37 million american form disability belong economic mainstream need talent america work force disabled american must become full partner america opportunity society
1989,Bush1,friend chamber ask cooperation keep america growing cutting deficit thats fair vote generation come let look back say foresight understand time peace prosperity time rest time press forward time invest future
1989,Bush1,let american remember problem human making great overcome human ingenuity human energy untiring hope human spirit believe would asked president didnt tomorrow debate plan ive put forward begin ask congress come forward proposal let question others motif let debate let negotiate let u solve problem
1989,Bush1,recalling anniversary may specialty speech tonight one note february 9th 1941 48 year ago tonight sir winston churchill took airwave britain hour peril hed received president roosevelt handcarried letter quoting longfellow famous poem sail ship state sail union strong great humanity fear hope future year hanging breathless thy fate churchill responded night radio broadcast nation war directed word franklin roosevelt shall fail falter said shall weaken tire give u tool finish job
1989,Bush1,tonight almost half century later peril may le immediate need perseverance clearsighted fortitude great say cant done voice say america best day passed bound constraint threatened problem surrounded trouble limit ability hope well tonight remain full hope american begun mission goodness greatness timid soul repeat plea give u tool job
1990,Bush1,tonight come speak state government detail every new initiative plan coming year describe every line budget speak american people state union world change weve seen challenge face mean america
1990,Bush1,singular moment history date divide go come many u chamber lived much life world whose fundamental feature defined 1945 event year decreed shape nation pace progress freedom oppression million people around world
1990,Bush1,nineteen fortyfive provided common frame reference compass point postwar era weve relied upon understand world event year ended revolution 89 chain reaction change striking mark beginning new era world affair
1990,Bush1,operation cause achieved objective number military personell panama close operation began tonight announcing end february additional number american troop brave men woman armed force made mission success back home
1990,Bush1,year ago poland lech walesa declared ready open dialogue communist ruler country future free poland hand member solidarity lead polish government
1990,Bush1,one year ago erich honecker east germany claimed history guide predicted berlin wall would last another hundred year le one year later wall thats history
1990,Bush1,remarkable event remarkable event event fulfill longheld hope american people event validate longstanding goal american policy policy based upon single shining principle cause freedom
1990,Bush1,america nation idea alive mind people everywhere new world take shape america stand center widening circle freedom tomorrow next century
1990,Bush1,nation enduring dream every immigrant ever set foot shore million still struggling free nation idea callled america always new world new world
1990,Bush1,worker rally place called branik outskirt prague idea called america alive worker dressed grimy overall rise speak factory gate begin speech fellow citizen word word distant revolution hold truth selfevident men created equal endowed creator certain unalienable right among life liberty pursuit happiness
1990,Bush1,secret home freedom door opened long ago cornerstone free society already set place democracy competition opportunity private investment stewardship course leadership
1990,Bush1,woman working outside home confident childeren safe loving care government work expand child alternative parent reconcile need clean environment strong economy made usa recognized around world symbol quality progress every one u enjoys opportunity live work contribute society first time american mainstream includes disabled citizen everyone roof head homeless get help need live dignity school challenge support kid teacher every one make grade every street every city every school every child drugfree finally finally american forgotten heart go hostage hostage ceaselessly mind effort
1990,Bush1,thats part future want see future make dream alone wont get u need extend horizon commit long view mission future start
1990,Bush1,tough competitive market around world america face great challenge great opportunity know succeed global economic arena 90 meet challenge must make fundamental change crucial investment
1990,Bush1,yes going invest america administration determined encourage creation capital capital kind physical capital everything farm factory workshop production line needed produce deliver quality good quality service intellectual intellectual capital source idea spark tomorrow product course human capital talented work force well need compete global market
1990,Bush1,let tell ignore human capital lose spirit american ingenuity sprit hallmark american worker would bad american worker productive worker world
1990,Bush1,need save need expand pool capital new investment mean job growth thats idea behind new initiative call family saving plan send congress tomorrow
1990,Bush1,need cut tax capital gain encourage encourage risktakers especially small business take step translate economic reward job better life u
1990,Bush1,well take invest america future budget commitment money research development r record high housing initiative hope hope help everyone firsttime homebuyers homeless money keep kid drugfree 70 percent took office 1989 space exploration education another record high
1990,Bush1,one one thing last fall education summit governor agreed look way help make sure kid ready learn first day walk classroom ive made commitment proposing record increase fund extra half billion dollar something near dear u head start
1990,Bush1,education one investment mean future mean child real improvement school simply matter spending matter asking expecting school teacher kid parent thats tonight thats tonight announcing america education goal goal developed enormous cooperation nation governor might id say pleased governor gardner governor clinton governor branstad governor campbell key discussion deliberation u tonight
1990,Bush1,year 2000 every child must start school ready learn united state must increase high school graduation rate le 90 percent going make sure school diploma mean something critical subject fourth eighth 12th grade must ass student performance
1990,Bush1,year 2000 u student must first world math science achievement every american adult must skilled literate worker citizen every school must offer kind disciplined envorionment make possible kid learn every school america must drugfree
1990,Bush1,investment help keep america competitive know american people welcome competition well match ingenuity energy experience technology spirit enterprise anyone let competition free let also fair america ready
1990,Bush1,since really mean since serious ready meet challenge getting house order made real progress seven year ago federal deficit 6 percent gross national product 6 percent new budget sent two day ago deficit 1 percent gnp
1990,Bush1,one sign serious elevate environmental protection agency cabinet rank bureaucracy red tape certainty home especially dealing nation environmental issue status deserve
1990,Bush1,year budget provides 2 billion new spending protect environment 1 billion global change research new intiative call america beautiful expand national park wildlife preserve improve recreational facility public land
1990,Bush1,something else something help keep country clean forest land inner city keep america beautiful generation come money plant billion tree year
1990,Bush1,tonight tonight let say member congress american people send u bicker work sent u get done spirit cooperation offer hand let work together peopleclean air child care educational excellence act crime drug time act farm bill transportation policy product liability reform enterprise zone time act together
1990,Bush1,rescued system 1983 sound bipartisan arrangement budget fully fund today benefit asssures future benefit funded well last thing need mess around social security
1990,Bush1,there one problem need address must give careful consideration recommendation health care study way thats tonight asking dr sullivan lou sullivan secretary health human service lead domestic policy council review recommendation quality accessibility cost nation health care system committed bring staggering cost health care control
1990,Bush1,state government indeed depend many u chamber state union depends american must maintain democratic decency make nation million individual ive appalled recent mail bombing across country every one u must confront condemn racism antisemitism bigotry hate next week tomorrow right every single one u
1990,Bush1,state union depends whether help neighbor claim problem community weve got step forward there trouble lend hand call point light stranger need weve got take time busy day sit read kid help homework pas along value child thats sustain state union
1990,Bush1,worry weve lost way well want listen part letter written james markwell pvt 1st class james markwell 20yearold army medic first battalion 75th ranger dated dec 18 day armed force went action panama letter serviceman writeand hope never ever sent sadly private markwells mother receive letter passed cincinnati wrote ive never afraid death know waiting cornerive trained kill save everyone else frightened lay beyond fog yet mourn revel life died give forget army choice something wanted remember joined army serve country inure free want live life freely
1990,Bush1,nearly 40 year ago last address congress president harry truman predicted time would come said world grows stronger united attractive men side iron curtain inevitably come time change within communist world
1990,Bush1,40 year america ally held communism check insured democracy would continue exist communism crumbling aim must insure democracy advance take lead forging peace freedom best hope great growing commonwealth free nation
1990,Bush1,period great transition great hope yet great uncertainty recognize soviet military threat europe diminishing see little change soviet strategic modernization therefore must sustain strategic offense modernization strategic defense initiative
1990,Bush1,time right move forward conventional arm control agreement move u appropriate level military force europe coherent defense program insures u continue catalyst peaceful change europe ive consulted leader nato fact spoke phone president gorbachev
1990,Bush1,number number level reflects advice senior military adviser designed protect american european interest sustain nato defense strategy swift conclusion arm control talksconventional chemical strategic must goal time come
1990,Bush1,still must recognize unfortunate fact many region world tonight reality conflict peace enduring animosity opposing interest remain thus cause peace must served america strong enough sure enough defend interest ideal american idea past four decade helped inspire revolution 89
1990,Bush1,home world history making history made six month ago early season change stood gate gdansk shipyard poland monument fallen worker solidarity monument simple majesty three tall cross rise stone atop cross anchor ancient symbol hope
1990,Bush1,anchor world freedom holding u steady time change symbol hope world freedom heart idea america giving life idea depends every one u anchor always faith family
1990,Bush1,last day past monumentous year family blessed celebrating joy life little boy became 12th grandchild held little guy fo first time trouble home abroad seemed manageable totally perspective
1990,Bush1,well maybe right ive met lot child past year across country everywhere far east eastern europe kid unique yet kid alike budding young environmentalist met month joined exploring florida everglades little leaguers played catch poland ready go warsaw world series even kid ill alone god bless boarder baby born addicted drug aid coping problem child face know come hope future every kid full dream ready take world special future freedom belongs new world ive speaking
1990,Bush1,tonight going ask something every one let start generation grandparent living link past tell grandchild story struggle waged home abroad sacrifice freely made freedom sake tell story well every american story tell
1990,Bush1,parent child look direction guidance tell faith family tell one nation god teach many gift receive liberty precious legacy gift give greatest greatest helping others
1990,Bush1,child young people tonight rest hope america mean year decade ahead fix vision new century century dream cannot see destiny alone
1990,Bush1,finally let american u chamber symbolic center democracy affirm allegience idea call america let u remember state union depends upon every one u
1991,Bush1,stake one small country big idea new world order diverse nation drawn together common cause achieve universal aspiration mankind peace security freedom rule law world worthy struggle worthy childrens future
1991,Bush1,community nation resolutely gathered condemn repel lawless aggression saddam hussein unprovoked invasion ruthless systematic rape peaceful neighbor violated everything community nation hold dear world said aggression would stand stand
1991,Bush1,together resisted trap appeasement cynicism isolation give temptation tyrant world answered saddam invasion 12 united nation resolution starting demand iraq immediate unconditional withdrawal backed force 28 country six continent exception world stand one
1991,Bush1,end cold war victory humanity year half ago germany said goal europe whole free tonight germany united europe become whole free america leadership instrumental making possible
1991,Bush1,principle guided u simple objective help baltic people achieve aspiration punish soviet union recent discussion soviet leadership given representation fulfilled would result withdrawal soviet force reopening dialogue republic move away violence
1991,Bush1,two century america served world inspiring example freedom democracy generation america led struggle preserve extend blessing liberty rapidly changing world american leadership indispensable american know leadership brings burden requires sacrifice
1991,Bush1,conviction courage see persian gulf simply american character action indomitable spirit contributing victory world peace justice spirit give u power potential meet challenge home
1991,Bush1,tonight come house american people appeal renewal merely call new government initiative call new initiative government community every american prepare next american century
1991,Bush1,america always led example among u set example citizen lead u next american century everyone step forward get one addict drug convince one troubled teenager give life comfort one aid patient help one hungry child
1991,Bush1,within reach promise renewed america find meaning reward serving purpose higher shining purpose illumination thousand point light expressed know irresistible force child hand friend stand stay volunteer generous gesture idea simply right
1991,Bush1,problem u may different key solving remains individual individual step forward state union union u one sum friendship marriage family community
1991,Bush1,together last two year weve put dollar child care directly hand patient instead bureaucracy unshackled potential american diabilities applied creativity marketplace service environment clean air made homeownership possible american
1991,Bush1,strength democracy bureaucracy people community everything let u unleash potential precious resource citizen must return family community county city state institution every kind power chart destiny freedom opportunity provided strong economic growth thats america
1991,Bush1,first fight doubledigit inflation second industry wont make big cut production big inventory piled third export running solid strong fact american business exporting record rate
1991,Bush1,let put time perspective together since 1981 weve created almost 20 million job cut inflation half cut interest rate half
1991,Bush1,get recession behind u return growth soon get way new record expansion achieve competitive strength carry u next american century
1991,Bush1,must begin control federal spending thats submitting budget hold growth spending le rate inflation thats amid sound fury last year budget debate put law new enforceable spending cap future spending debate mean battle idea bidding war
1991,Bush1,though controversial budget agreement finally put federal government payasyougo basis cut growth debt nearly 500 billion free fund saving jobcreating investment
1991,Bush1,let budget includes taxfree family saving account penaltyfree withdrawal r firsttime homebuyers increase job growth reduced tax longterm capital gain
1991,Bush1,know difference among u impact effect capital gain incentive tonight aking congressional leader federal reserve cooperate u study led chairman alan greenspan sort technical difference avoid return unproductive partisan bickering
1991,Bush1,budget promotes investment america future child education infrastructure space high technology legislation achieve excellence education building partnership forged 50 governor education summit enabling parent choose childrens school helping make america 1 math science blueprint new national highway system critical investment transportation infrastructure research development agenda includes record level federal investment permanent tax credit strengthen private r create job comprehensive national energy strategy call energy conservation efficiency increased development greater use alternative fuel banking reform plan bring america financial system 21st century bank remain safe secure continue make jobcreating loan factory business homebuyers think much pessimism sound bank making sound loan interest rate lower
1991,Bush1,addition proposal must recognize economic strength depends upon competitive world market must continue expand america export successful uruguay round world trade negotiation create real job real growth nation know playing field level america worker farmer outwork outproduce anyone anytime anywhere
1991,Bush1,budget also includes plan action right home put power opportunity hand individual mean new incentive create job inner city encouraging investment enterprise zone also mean tenant control ownership public housing freedom power choose privilege wealth birthright every american
1991,Bush1,civil right also crucial protecting equal opportunity every one u responsibility speak racism bigotry hate wil continue vigorous enforcement existing statute press congress strengthen law employment discrimination without resorting use unfair preference
1991,Bush1,determined protect another fundamental civil right freedom crime fear stalk city attorney general soon convene crime summit nation lawenforcement official help u support need tough crime control legislation need
1991,Bush1,fight crime fully implement nation strategy combatting drug abuse recent data show making progress much remains done rest day dealer forever
1991,Bush1,health care every american right every american responsibility proposing aggression program new prevention initiative infant child adult elderly promote healthier america help keep cost spiraling
1991,Bush1,time give people choice government reviving ideal citizen politician come stay serve one reason much support term limitation american people increasingly concerned bigmoney influenece politics must look beyond next election next generation time come put national interest ahead special interest totally eliminate political action committee
1991,Bush1,budget includes list program potential turnover totaling 20 billion working congress governor propose select least 15 billion program turn state single consolidated grant fully funded flexible management state
1991,Bush1,value fo turnover approach straightforward allows federal government reduce overhead allows state manage flexibly efficiently move power decisionmaking closer people reenforces theme administration appreciation encouragement innovative power state laboratory
1991,Bush1,one devoted committed hard work freedom every soldier sailor every marine airman coastguardsman every man every woman serving persian gulf
1991,Bush1,war gulf war wanted worked hard avoid war five month along arab league european community united nation tried every diplomatic avenue un secretary general perez de cuellar president gorbachev mitterrand ozal mubarak bendjedid king fahd hassan prime minster major andreotti name worked solution time saddam hussein flatly rejected path diplomacy peace
1991,Bush1,let make clear mean region stability security seek destruction iraq culture people rather seek iraq us great resource destroy serve ambition tyrant build better life neighbor seek persian gulf conflict longer rule strong neither tempted able intimidate weak
1991,Bush1,american know instinctively gulf know stop saddam later know brutal dictator anything use weapon commit outrage matter many innocent must suffer
1991,Bush1,know must make sure control world oil resource fall hand finance aggression know need build new enduring peace based arm race confrontation shared principle rule law
1991,Bush1,democracy brings undeniable value thoughtful dissent heard dissenting voice home reckless responsible fact voice right speak one reason weve united principle purpose 200 year
1991,Bush1,progress great struggle result year vigilance steadfast commitment strong defense remarkable technological advance patriot missile defend ballistic missile attack aimed innocent civilian
1991,Bush1,looking forward directed sdi program refocused providing protection limited ballistic missile strike whatever source let u pursue sdi program deal future threat united state force overseas friend ally
1991,Bush1,quality american technology thanks american worker enabled u successfully deal difficult military condition help minimize loss life given men woman best deserve
1991,Bush1,special place heart family men woman serving gulf represented tonight mr norman schwarzkopf serving family let say force gulf stay one day longer necessary complete mission
1991,Bush1,courage success raf pilot kuwaiti saudi french canadian italian pilot qatar bahrain proof first time since world war ii international community united leadership united nation hopedfor ideal confirming founder vision
1991,Bush1,heartened asked bear alone financial burden struggle last year friend ally provided bulk economic cost desert shield received commitment 40 billion first three month 1991 confident le move desert storm
1991,Bush1,world wonder dictator iraq thinking think targeting innocent civilian israel saudi arabia gain advantage dead wrong think advance cause tragic despicable environmental terrorism dead wrong think abusing coalition pow benefit dead wrong
1991,Bush1,yes united state bear major share leadership effort among nation world united state america moral standing mean back nation earth could assemble force peace
1991,Bush1,nation never found glory war people never wanted abandon blessing home work distant land deadly conflict fight anger fight u yearn world never fight
1992,Bush1,gather tonight dramatic deeply promising time history history man earth past 12 month world known change almost biblical proportion even month failed coup doomed failed system sure weve absorbed full impact full import happened communism died year
1992,Bush1,even president fascinating possible vantage point time busy managing progress helping lead change didnt always show joy heart biggest thing happened world life life grace god america cold war
1992,Bush1,mean speak evening change take place country stop making sacrifice make avowed enemy superpower look homeward even move set right need set right
1992,Bush1,speak thing let tell something ive thinking past month kind rollcall honor cold war didnt end think place korea vietnam didnt come back back hero year victor
1992,Bush1,long rollcall gi joes janes one fought faithfully freedom hit ground sucked dust knew share horror may seem frivolous mean moving world saw world saw special valor special style rambunctious optimistic bravery doordie unity unhampered class race region group weve put forth generation one wrote kilroy wall german stalags left sign iraqi desert said saw elvis group kid weve sent world
1992,Bush1,there another singled though may seem inelegant mean mass people called american taxpayer one ever think people pay country bill alliance bill half century american people shouldered burden paid tax higher would support defense bigger would imperial communism never existed doesnt anymore here fact wouldnt mind world acknowledging american taxpayer bore brunt burden deserves hunk glory
1992,Bush1,first time 35 year strategic bomber stand longer roundtheclock alert tomorrow child go school study history plant grow wont child air raid drill crawl desk cover head case nuclear war grandchild wont bad dream child decade past still threat long drawnout dread
1992,Bush1,year ago tonight spoke moment high peril american force unleashed operation desert storm 40 day desert sky 4 day ground men woman america armed force ally accomplished goal declared endorsed liberated kuwait soon arab world israel sat talk seriously comprehensively peace historic first soon christmas last american hostage came home policy vindicated
1992,Bush1,much come prudent use power much come world divided two armed camp recognizes one sole preeminent power united state america regard dread world trust u power world right trust u fair restrained trust u side decency trust u whats right
1992,Bush1,use word advisedly day war began received telegram joanne speicher wife first pilot killed gulf lieutenant commander scott speicher even grief wanted know day child old enough would tell father went away war right thing said right thing
1992,Bush1,together honest difference right chamber war began put partisanship aside supported troop still time pride time boast problem face u must stand together solve let country
1992,Bush1,two year ago began planning cut military spending reflected change new era year imperial communism gone process accelerated tonight tell dramatic change strategic nuclear force action taking right thing completing 20 plane begun procurement shut production b 2 bomber cancel small icbm program cease production new warhead seabased ballistic missile stop new production peacekeeper missile purchase advanced cruise missile
1992,Bush1,weekend meet camp david boris yeltsin russian federation ive informed president yeltsin commonwealth former soviet union eliminate landbased multiplewarhead ballistic missile following eliminate peacekeeper missile reduce number warhead minuteman missile one reduce number warhead seabased missile onethird convert substantial portion strategic bomber primarily conventional use president yeltsins early response positive expect talk camp david fruitful
1992,Bush1,want know half century american president longed make decision say word even midst celebration must keep caution friend world still dangerous place dead seen end conflict though yesterday challenge behind u tomorrow born
1992,Bush1,secretary defense recommended cut consultation joint chief staff make confidence misunderstand reduction approved save u additional 50 billion next 5 year 1997 cut defense 30 percent since took office cut deep must know resolve deep deeper le would insensible progress would ignorant history must go back day hollow army cannot repeat mistake made twice century armistice followed recklessness defense purged world permanently safe
1992,Bush1,remind evening asked support funding program protect country limited nuclear missile attack must protection many people many country access nuclear arm urge pas strategic defense initiative sdi
1992,Bush1,say turn away world special role special place united state america leader west become leader world long president continue lead support freedom everywhere arrogance altruism safety security child fact strength pursuit peace vice isolationism pursuit security virtue
1992,Bush1,trouble home theyre economic primary problem economy sign inflation thief interest rate unemployment high industry trouble growth let tell right start right heart know hard time know something else stand
1992,Bush1,chamber chamber bring courage sense common purpose economy brought desert storm defeat hard time together believe youll help one reason patriot want best country believe heart want put partisanship aside get job done right thing
1992,Bush1,power america rest stirring simple idea people great thing set free well going set economy free age miracle wonder taught u anything change world change america must encourage investment must make easier people invest money create new product new industry new job must clear away obstacle growth high tax high regulation redtape yes wasteful government spending
